Q_ENT;Q_NOMENT;Q_GRUPO;Q_NOMGRUPO;Q_PARTIDA;Q_NOMPARTIDA;Q_FTE;Q_ASIG;Q_VIG;Q_COMP;Q_ORD;Q_PAG;Q_SAL;Q_VAR
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;126;COMPLEMENTOS;10;16012133;16012133;1739443,4;1739443,4;1739443,4;14272689,6;10,86328349
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;127;OTRAS CONTRIBUCIONES PATRONALES;10;7917000;7917000;4775539,32;4775539,32;4775539,32;3141460,68;60,32006214
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;131;RETRIBUCIONES EXTRAORDINARIAS;10;0;6000000;33256,32;33256,32;33256,32;5966743,68;0,554272
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;132;SUELDO ANUAL COMPLEMENTARIO Y OTROS BENEFICIOS;10;0;2000000;0;0;0;2000000;0
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;133;CONTRIBUCIONES PATRONALES PARA JUBILACION;10;0;2000000;0;0;0;2000000;0
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;134;APORTE PATRONAL PARA OBRA SOCIAL;10;0;2000000;0;0;0;2000000;0
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;141;ASIGNACIONES FAMILIARES VARIAS;10;13241182;13829382;16446165,98;16446165,98;16446165,98;-2616783,98;118,9219155
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;151;ASISTENCIAS SOCIALES VARIAS;10;5938;5938;0;0;0;5938;0
 0001;PODER LEGISLATIVO;1;GASTOS DE PERSONAL;161;BENEFICIOS Y COMPENSACIONES VARIAS;10;11889355;11889355;9991048,74;9991048,74;9991048,74;1898306,26;84,03356397
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;211;ALIMENTOS PARA PERSONAS;10;424583729;549734980;549696680,4;549696680,4;549696680,4;38299,62;99,99303308
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;215;MADERA, CORCHO Y SUS MANUFACTURAS;10;53900;73900;33500;33500;33500;40400;45,33152909
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;219;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;9345;9345;0;0;0;9345;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;221;HILADOS Y TELAS;10;50400;50400;0;0;0;50400;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;222;PRENDAS DE VESTIR;10;1576604;2241604;2100480;2100480;2100480;141124;93,70432958
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;223;CONFECCIONES TEXTILES;10;14000;14000;0;0;0;14000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;229;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;18200;18200;18140;18140;18140;60;99,67032967
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;231;PAPEL DE ESCRITORIO Y CARTON;10;1960000;1580000;1088905,85;1088905,85;1088905,85;491094,15;68,91809177
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;232;PAPEL PARA COMPUTACION;10;112000;112000;0;0;0;112000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;233;PRODUCTOS DE ARTES GRAFICAS;10;1470000;160000;73973,77;73973,77;73973,77;86026,23;46,23360625
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;234;PRODUCTOS DE PAPEL Y CARTON;10;280000;280000;699300;699300;343350;-419300;249,75
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;235;LIBROS, REVISTAS Y PERIODICOS;10;5394469;1377025;920297,6;920297,6;920297,6;456727,4;66,83230878
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;236;TEXTOS DE ENSENANZA;10;22014;77014;34000;34000;34000;43014;44,14781728
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;239;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;952112;1299112;913175,95;913175,95;913175,95;385936,05;70,29231891
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;241;CUEROS, PIELES Y SUS PRODUCTOS;10;14000;114000;31600;31600;31600;82400;27,71929825
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;242;ARTICULOS DE CAUCHO;10;28000;28000;0;0;0;28000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;243;CUBIERTAS Y CAMARAS DE AIRE;10;253780;2674620;2049500,12;2049500,12;2049500,12;625119,88;76,62771235
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;249;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;14000;14000;0;0;0;14000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;251;COMPUESTOS QUIMICOS;10;70000;75000;21009,09;21009,09;21009,09;53990,91;28,01212
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;254;INSECTICIDAS, FUMIGANTES Y OTROS;10;70000;70000;0;0;0;70000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;255;TINTAS, PINTURAS Y COLORANTES;10;770340;3414566;2299247,89;2299247,89;2299247,89;1115318,11;67,33646062
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;256;COMBUSTIBLES Y LUBRICANTES;10;10965489;24625640,48;26040676,76;26040676,76;26010676,76;-1415036,28;105,7461908
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;258;PRODUCTOS DE MATERIAL PLASTICO;10;88200;228200;178984,79;178984,79;178984,79;49215,21;78,43329974
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;259;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;367632;795062;633027,95;633027,95;633027,95;162034,05;79,61994788
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;261;PRODUCTOS DE ARCILLA Y CERÁMICA;10;10501;10501;0;0;0;10501;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;262;PRODUCTOS DE VIDRIO;10;5685;70685;24396,4;24396,4;24396,4;46288,6;34,51425338
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;265;CEMENTO ASBESTO Y YESO;10;14000;14000;0;0;0;14000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;269;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;7000;7000;0;0;0;7000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;271;PRODUCTOS FERROSOS;10;42000;42000;0;0;0;42000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;272;PRODUCTOS NO FERROSOS;10;28000;28000;0;0;0;28000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;275;HERRAMIENTAS MENORES;10;28000;44905,99;44905,99;44905,99;44905,99;0;100
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;279;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;101012;101012;49370;49370;49370;51642;48,87538114
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;284;PIEDRA, ARCILLA Y ARENA;10;1137;1137;0;0;0;1137;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;291;ELEMENTOS DE LIMPIEZA;10;1428000;3385910;3126832,86;3126832,86;1478490,36;259077,14;92,34837488
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;292;UTILES DE ESCRITORIO, OFICINA Y ENSENANZA;10;2568737;3690737;5704905,78;5704905,78;5640582,74;-2014168,78;154,5736198
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;293;UTILES Y MATERIALES ELECTRICOS;10;630000;3900000;3668818,55;3668818,55;3668818,55;231181,45;94,07227051
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;294;UTENSILIOS DE COCINA Y COMEDOR;10;56000;247330;247330;247330;247330;0;100
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;296;REPUESTOS Y ACCESORIOS;10;1498000;2878958,13;2873231,28;2873231,28;2873231,28;5726,85;99,80107908
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;299;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;488450;1906119,13;1902519,23;1902519,23;1902519,23;3599,9;99,81113982
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;311;ENERGIA ELECTRICA;10;9199418;2599418;2387299,28;2387299,28;2387299,28;212118,72;91,83976105
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;312;AGUA;10;1400000;1400000;831231,25;831231,25;775547,32;568768,75;59,37366071
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;314;TELEFONOS, TELEX Y TELEFAX;10;1680000;4372730,78;2790547,06;2790547,06;2790547,06;1582183,72;63,81703335
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;315;CORREOS Y TELEGRAFOS;10;868000;867106,09;1738741,55;1738741,55;1738741,55;-871635,46;200,5223548
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;319;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;462525;462525;0;0;0;462525;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;321;ALQUILER DE EDIFICIOS Y LOCALES;10;39885552;92049607,94;89343911,98;89343911,98;89343911,98;2705695,96;97,0606111
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;322;ALQUILER DE MAQUINARIA Y EQUIPO;10;210000;210000;552320;552320;552320;-342320;263,0095238
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;324;ALQUILER DE FOTOCOPIADORAS;10;1190000;6452393,24;6745497,71;6745497,71;5923656,11;-293104,47;104,5425699
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;329;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;252000;252000;245200;245200;245200;6800;97,3015873
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;331;MANTENIMIENTO Y REPARACION DE EDIFICIOS Y LOCALES;10;13301098;8301098;16375766,09;16375766,09;13065903,4;-8074668,09;197,2722896
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;332;MANTENIMIENTO Y REPARACION DE VEHICULOS;10;597822;997822;3485487,41;3485487,41;2297641,41;-2487665,41;349,3095372
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;333;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;10;6192200;1849786;995992,31;995992,31;995844,71;853793,69;53,84365056
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;335;LIMPIEZA, ASEO Y FUMIGACION;10;534800;2304800;1656262,94;1656262,94;1656262,94;648537,06;71,86146043
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;336;MANTENIMIENTO DE SISTEMAS INFORMÁTICOS;10;560000;1560000;830231,13;830231,13;830231,13;729768,87;53,21994423
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;339;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;179392;9561286,01;9387453,02;9387453,02;9387453,02;173832,99;98,18190785
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;342;MEDICOS Y SANITARIOS;10;280000;280000;121310;121310;121310;158690;43,325
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;343;JURIDICOS Y NOTARIALES;10;70000;70000;0;0;0;70000;0
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;345;DE CAPACITACION;10;1198491;1198491;690000;690000;690000;508491;57,57239729
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;346;DE INFORMATICA Y SISTEMAS COMPUTARIZADOS;10;2380000;7299371;7299370,99;7299370,99;3335727,11;0,01;99,99999986
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;349;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;142343280;156623280;153478228,9;153478228,9;153478228,9;3145051,1;97,99196448
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;351;TRANSPORTE;10;138600;1968316,75;1916595,74;1916595,74;1916595,74;51721,01;97,37232282
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;353;IMPRENTA, PUBLICACIONES Y REPRODUCCIONES;10;5027902;6467946;5414844,06;5414844,06;5414844,06;1053101,94;83,71813958
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;354;PRIMAS Y GASTOS DE SEGUROS;10;5600000;5600000;9124554,36;9124554,36;6148835,76;-3524554,36;162,9384707
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;355;COMISIONES Y GASTOS BANCARIOS;10;336725;286725;195345,07;195345,07;192097,28;91379,93;68,12976545
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;356;DE INTERNET;10;560000;1395555,2;1761786,5;1761786,5;1761786,5;-366231,3;126,2426954
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;361;PUBLICIDAD Y PROPAGANDA VARIAS;10;133694414;189555573,7;186025131,5;186025131,5;185355131,5;3530442,24;98,137516
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;371;PASAJES;10;980000;4250000;2064152,85;2064152,85;2064152,85;2185847,15;48,56830235
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;372;VIATICOS;10;2500226;17609600,3;17201483,62;17201483,62;17192883,62;408116,68;97,6824194
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;379;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;201984;1197220,34;799811,95;799811,95;799811,95;397408,39;66,80574354
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;382;IMPUESTOS DIRECTOS;10;124844;192523,07;595484,45;595484,45;554661,43;-402961,38;309,305503
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;389;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;44800;44800;15017,68;15017,68;15017,68;29782,32;33,52160714
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;391;SERVICIOS DE CEREMONIAL;10;4313126;79651478,01;80997692,23;80997692,23;80997692,23;-1346214,22;101,6901309
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;392;PREMIOS Y CONDECORACIONES;10;0;750000;750000;750000;750000;0;100
 0001;PODER LEGISLATIVO;2;BIENES Y SERVICIOS;399;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;1123465;5348982,84;2024111,4;2024111,4;2024111,4;3324871,44;37,84105241
 0001;PODER LEGISLATIVO;3;CONSTRUCCIONES;421;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;10;840000000;0;0;0;0;0;0
 0001;PODER LEGISLATIVO;4;RESTO BIENES DE USO;436;EQUIPO PARA COMPUTACION;10;1400000;9600000;8424605,56;8424605,56;2934605,56;1175394,44;87,75630792
 0001;PODER LEGISLATIVO;4;RESTO BIENES DE USO;437;EQUIPOS DE OFICINA Y MUEBLES;10;3080000;14280000;10512180,22;10512180,22;10512180,22;3767819,78;73,61470742
 0001;PODER LEGISLATIVO;4;RESTO BIENES DE USO;439;EQUIPOS VARIOS;10;2380000;8380000;1279046,51;1279046,51;1279046,51;7100953,49;15,26308484
 0001;PODER LEGISLATIVO;4;RESTO BIENES DE USO;451;LIBROS, REVISTAS Y OTROS ELEMENTOS VARIOS;10;518000;518000;0;0;0;518000;0
 0001;PODER LEGISLATIVO;4;RESTO BIENES DE USO;481;PROGRAMAS DE COMPUTACIÓN;10;182000;182000;0;0;0;182000;0
 0001;PODER LEGISLATIVO;5;TRANSFERENCIAS;513;BECAS;10;6561000;6561000;1148280;1148280;1148280;5412720;17,50160037
 0001;PODER LEGISLATIVO;5;TRANSFERENCIAS;541;TRANSF.A LA ADMINISTRACION CENTRAL PROVINCIAL;10;0;2000000;1190000;1190000;1190000;810000;59,5
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;111;RETRIBUCION DEL CARGO;10;673782264;536085567,1;536084991,3;536084991,3;483882839,4;575,82;99,99989259
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;112;RETRIBUCIONES A PERSONAL DIRECTIVO Y DE CONTROL;10;96823243;0;0;0;0;0;0
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;113;ADICIONALES;10;578921179;1063957209;1063937209;1063937209;1012371325;20000;99,99812023
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;114;SUELDO ANUAL COMPLEMENTARIO Y OTROS BENEFICIOS;10;103023996;166699503,7;166699503,4;166699503,4;165185117,3;0,38;99,99999977
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;115;CONTRIBUCIONES PATRONALES PARA JUBILACION;10;222857045;314299573;314299573;314299573;314299573;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;116;APORTE PATRONAL PARA OBRA SOCIAL;10;84662908;117751765;117751765;117751765;117751765;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;117;COMPLEMENTOS;10;41601059;19031900,7;19031900,7;19031900,7;19031900,7;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;118;OTRAS CONTRIBUCIONES PATRONALES;10;12242930;14574385,77;14574385,77;14574385,77;14574385,77;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;121;RETRIBUCION DEL CARGO;10;48945761;29591984,97;29591984,97;29591984,97;29591984,97;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;122;ADICIONALES;10;39590616;61248445,75;61248445,75;61248445,75;61248445,75;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;123;SUELDO ANUAL COMPLEMENTARIO Y OTROS BENEFICIOS;10;6715957;8354402,02;8354402,02;8354402,02;8354402,02;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;124;CONTRIBUCIONES PATRONALES PARA JUBILACION;10;13463999;15724613,35;15724613,35;15724613,35;15724613,35;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;125;APORTE PATRONAL PARA OBRA SOCIAL;10;5949059;5896729,91;5896729,91;5896729,91;5896729,91;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;126;COMPLEMENTOS;10;3365;0;0;0;0;0;0
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;127;OTRAS CONTRIBUCIONES PATRONALES;10;699332;737091,29;737091,29;737091,29;737091,29;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;131;RETRIBUCIONES EXTRAORDINARIAS;10;157161589;211089085,7;211089085,7;211089085,7;211089085,7;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;141;ASIGNACIONES FAMILIARES VARIAS;10;5117214;12164034;12164034;12164034;12164034;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;151;ASISTENCIAS SOCIALES VARIAS;10;97099464;150922500;150922500;150922500;150922500;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;1;GASTOS DE PERSONAL;161;BENEFICIOS Y COMPENSACIONES VARIAS;10;1506828;376017,05;376017,05;376017,05;376017,05;0;100
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;211;ALIMENTOS PARA PERSONAS;10;3924720;7299399;5984147,75;5984147,75;5788445,87;1315251,25;81,98137614
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;212;ALIMENTOS PARA ANIMALES;10;3580;0;0;0;0;0;0
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;214;PRODUCTOS AGROFORESTALES;10;161383;256960;256268;256268;256268;692;99,73069738
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;215;MADERA, CORCHO Y SUS MANUFACTURAS;10;1422;17422;3900;3900;3900;13522;22,38548961
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;221;HILADOS Y TELAS;10;138531;61370;61360;61360;61360;10;99,98370539
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;222;PRENDAS DE VESTIR;10;136722;331847;23928,54;23928,54;23928,54;307918,46;7,210714576
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;223;CONFECCIONES TEXTILES;10;168446;520678;517947;517947;517947;2731;99,47549157
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;229;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;3381;210468;204467,28;204467,28;204467,28;6000,72;97,14886824
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;231;PAPEL DE ESCRITORIO Y CARTON;10;66214;15842;15700;15700;15700;142;99,10364853
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;232;PAPEL PARA COMPUTACION;10;922171;1763789;1682232,7;1682232,7;1505036,7;81556,3;95,3760739
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;233;PRODUCTOS DE ARTES GRAFICAS;10;1785;11625;10804,41;10804,41;10804,41;820,59;92,94116129
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;234;PRODUCTOS DE PAPEL Y CARTON;10;350205;87594;84655,47;84655,47;84655,47;2938,53;96,64528392
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;235;LIBROS, REVISTAS Y PERIODICOS;10;49440;604174;596880;596880;596880;7294;98,7927319
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;239;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;3007;2000;1090;1090;1090;910;54,5
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;241;CUEROS, PIELES Y SUS PRODUCTOS;10;4869;2927;0;0;0;2927;0
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;242;ARTICULOS DE CAUCHO;10;2599;0;0;0;0;0;0
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;243;CUBIERTAS Y CAMARAS DE AIRE;10;1297401;2729440;1241000;1241000;1241000;1488440;45,46720206
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;249;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;1105;0;0;0;0;0;0
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;251;COMPUESTOS QUIMICOS;10;183873;222781;192455;192455;168655;30326;86,38752856
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;252;PRODUCTOS FARMACEUTICOS Y MEDICINALES;10;410287;129145;119598,59;119598,59;119598,59;9546,41;92,60799102
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;253;ABONOS Y FERTILIZANTES;10;0;4000;3010;3010;3010;990;75,25
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;254;INSECTICIDAS, FUMIGANTES Y OTROS;10;6601;17695;15614,82;15614,82;15614,82;2080,18;88,24424979
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;255;TINTAS, PINTURAS Y COLORANTES;10;1797203;2304277;1713000,27;1713000,27;1541000,27;591276,73;74,34003247
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;256;COMBUSTIBLES Y LUBRICANTES;10;48490842;35442267,49;34621650,15;34621650,15;34367688,82;820617,34;97,68463646
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;256;COMBUSTIBLES Y LUBRICANTES;34768;0;1256,47;0;0;0;1256,47;0
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;258;PRODUCTOS DE MATERIAL PLASTICO;10;455996;305609,11;288024,16;288024,16;288024,16;17584,95;94,24593396
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;259;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10;63512;9408;4481;4481;4481;4927;47,62967687
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;261;PRODUCTOS DE ARCILLA Y CERÁMICA;10;38145;0;0;0;0;0;0
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;262;PRODUCTOS DE VIDRIO;10;24751;7316;3600;3600;3600;3716;49,20721706
 0002;SECRETARIA GENERAL DE GOBERNACION;2;BIENES Y SERVICIOS;263;PRODUCTOS DE LOZA Y PORCELANA;10;8477;282477;23980;23980;23980;258497;8,48918673
